ColumnName,ID,Description
CITY_ID,193,HELOTES
CITY_ID,194,HEMPSTEAD
CITY_ID,195,HENDERSON
CITY_ID,196,HENRIETTA
CITY_ID,197,HEREFORD
CITY_ID,198,HEWITT
CITY_ID,199,HIDALGO
CITY_ID,200,HIGHLAND PARK
CITY_ID,201,HIGHLAND VILLAGE
CITY_ID,202,HILLSBORO
CITY_ID,203,HITCHCOCK
CITY_ID,204,HOLLYWOOD PARK
CITY_ID,205,HONDO
CITY_ID,206,HOOKS
CITY_ID,207,HORIZON CITY
CITY_ID,208,HOUSTON
CITY_ID,209,HOWE
CITY_ID,210,HUDSON
CITY_ID,211,HUMBLE
CITY_ID,212,HUNTERS CREEK VILLAGE
CITY_ID,213,HUNTSVILLE
CITY_ID,214,HURST
CITY_ID,215,HUTCHINS
CITY_ID,216,INGLESIDE
CITY_ID,217,IOWA PARK
CITY_ID,218,IRVING
CITY_ID,219,JACINTO CITY
CITY_ID,220,JACKSBORO
CITY_ID,221,JACKSONVILLE
CITY_ID,222,JASPER
CITY_ID,223,JERSEY VILLAGE
CITY_ID,224,JOSHUA
CITY_ID,225,JOURDANTON
CITY_ID,226,JUNCTION
CITY_ID,227,KARNES CITY
CITY_ID,228,KATY
CITY_ID,229,KAUFMAN
CITY_ID,230,KEENE
CITY_ID,231,KELLER
CITY_ID,232,KENNEDALE
CITY_ID,233,KERMIT
CITY_ID,234,KERRVILLE
CITY_ID,235,KILGORE
CITY_ID,236,KILLEEN
CITY_ID,237,KINGSVILLE
CITY_ID,238,KIRBY
CITY_ID,239,KYLE
CITY_ID,240,LA FERIA
CITY_ID,241,LA GRANGE
CITY_ID,242,LA JOYA
CITY_ID,243,LA MARQUE
CITY_ID,244,LA PORTE
CITY_ID,245,LACY-LAKEVIEW
CITY_ID,246,LAGO VISTA
CITY_ID,247,LAKE DALLAS
CITY_ID,248,LAKE JACKSON
CITY_ID,249,LAKE WORTH
CITY_ID,250,LAKEWAY
CITY_ID,251,LAMESA
CITY_ID,252,LAMPASAS
CITY_ID,253,LANCASTER
CITY_ID,254,LAREDO
CITY_ID,255,LEAGUE CITY
CITY_ID,256,LEANDER
CITY_ID,257,LEON VALLEY
CITY_ID,258,LEVELLAND
CITY_ID,259,LEWISVILLE
CITY_ID,260,LIBERTY
CITY_ID,261,LINDALE
CITY_ID,262,LITTLE ELM
CITY_ID,263,LITTLEFIELD
CITY_ID,264,LIVE OAK
CITY_ID,265,LIVINGSTON
CITY_ID,266,LLANO
CITY_ID,267,LOCKHART
CITY_ID,268,LONGVIEW
CITY_ID,269,LOS FRESNOS
CITY_ID,270,LUBBOCK
CITY_ID,271,LUCAS
CITY_ID,272,LUFKIN
CITY_ID,273,LULING
CITY_ID,274,LUMBERTON
CITY_ID,275,LYTLE
CITY_ID,276,MADISONVILLE
CITY_ID,277,MANSFIELD
CITY_ID,278,MANVEL
CITY_ID,279,MARBLE FALLS
CITY_ID,280,MARLIN
CITY_ID,281,MARSHALL
CITY_ID,282,MATHIS
CITY_ID,283,MCALLEN
CITY_ID,284,MCGREGOR
CITY_ID,285,MCKINNEY
CITY_ID,286,MEADOW
CITY_ID,287,MERCEDES
CITY_ID,288,MERKEL
CITY_ID,289,MESQUITE
CITY_ID,290,MEXIA
CITY_ID,291,MIDLAND
CITY_ID,292,MIDLOTHIAN
CITY_ID,293,MINEOLA
CITY_ID,294,MINERAL WELLS
CITY_ID,295,MISSION
CITY_ID,296,MISSOURI CITY
CITY_ID,297,MONAHANS
CITY_ID,298,MONT BELVIEU
CITY_ID,299,MORGAN'S POINT RESORT
CITY_ID,300,MOUNT PLEASANT
CITY_ID,301,MULESHOE
CITY_ID,302,MURPHY
CITY_ID,303,NACOGDOCHES
CITY_ID,304,NASSAU BAY
CITY_ID,305,NAVASOTA
CITY_ID,306,NEDERLAND
CITY_ID,307,NEEDVILLE
CITY_ID,308,NEW BOSTON
CITY_ID,309,NEW BRAUNFELS
CITY_ID,310,NOCONA
CITY_ID,311,NOLANVILLE
CITY_ID,312,NORTH RICHLAND HILLS
CITY_ID,313,OAK RIDGE NORTH
CITY_ID,314,ODEM
CITY_ID,315,ODESSA
CITY_ID,316,OLNEY
CITY_ID,317,ORANGE
CITY_ID,318,OVILLA
CITY_ID,319,PALACIOS
CITY_ID,320,PALESTINE
CITY_ID,321,PALMVIEW
CITY_ID,322,PAMPA
CITY_ID,323,CHULA VISTA
CITY_ID,324,PARIS
CITY_ID,325,PASADENA
CITY_ID,326,PEARLAND
CITY_ID,327,PEARSALL
CITY_ID,328,PECOS
CITY_ID,329,PERRYTON
CITY_ID,330,PFLUGERVILLE
CITY_ID,331,PHARR
CITY_ID,332,PILOT POINT
CITY_ID,333,PINEY POINT VILLAGE
CITY_ID,334,PITTSBURG
CITY_ID,335,PLAINVIEW
CITY_ID,336,PLANO
CITY_ID,337,PLEASANTON
CITY_ID,338,PORT ARANSAS
CITY_ID,339,PORT ARTHUR
CITY_ID,340,PORT ISABEL
CITY_ID,341,PORT LAVACA
CITY_ID,342,PORT NECHES
CITY_ID,343,PORTLAND
CITY_ID,344,POST
CITY_ID,345,POTEET
